classes,conf,x1,y1,x2,y2,fps
truck,0.40158343,1018.0,230.0,1098.0,299.0,26
car,0.82858706,1257.0,605.0,1448.0,742.0,27
car,0.7710457,1158.0,436.0,1307.0,550.0,27
car,0.6191473,269.0,782.0,555.0,969.0,27
car,0.48373604,1445.0,218.0,1492.0,251.0,27
car,0.8599925,1262.0,595.0,1444.0,737.0,28
car,0.80595255,1164.0,432.0,1315.0,544.0,28
car,0.6607628,300.0,768.0,570.0,952.0,28
car,0.8442974,323.0,745.0,588.0,923.0,29
car,0.83757925,1275.0,592.0,1452.0,728.0,29
car,0.7662325,1176.0,428.0,1318.0,539.0,29
car,0.84912014,347.0,734.0,605.0,908.0,30
car,0.8332133,1282.0,582.0,1461.0,718.0,30
car,0.7923248,1185.0,423.0,1323.0,535.0,30
bus,0.49486256,1.0,824.0,111.0,1068.0,30
car,0.40862346,997.0,234.0,1082.0,305.0,30
car,0.8261204,1290.0,577.0,1464.0,708.0,31
car,0.81536627,370.0,721.0,626.0,883.0,31
car,0.7660389,1192.0,421.0,1333.0,526.0,31
car,0.52592564,992.0,235.0,1077.0,306.0,31
car,0.77219725,394.0,711.0,643.0,867.0,32
car,0.73552704,1295.0,568.0,1468.0,699.0,32
car,0.7345319,1198.0,415.0,1335.0,525.0,32
car,0.47768784,986.0,239.0,1069.0,307.0,32
car,0.45775223,1450.0,217.0,1496.0,250.0,32
car,0.8354635,418.0,695.0,662.0,857.0,33
car,0.799139,1303.0,561.0,1469.0,689.0,33
car,0.7795572,1205.0,411.0,1336.0,520.0,33
car,0.54430103,981.0,237.0,1070.0,309.0,33
bus,0.43801737,0.0,780.0,238.0,1071.0,33
car,0.8368759,440.0,685.0,678.0,839.0,34
car,0.8079505,1308.0,558.0,1474.0,685.0,34
car,0.7522166,1212.0,409.0,1339.0,514.0,34
bus,0.6041961,0.0,765.0,276.0,1073.0,34
truck,0.49147797,974.0,236.0,1063.0,308.0,34
car,0.47157955,974.0,239.0,1063.0,309.0,34
car,0.8185673,461.0,676.0,694.0,824.0,35
car,0.8151555,1217.0,408.0,1347.0,506.0,35
car,0.7899194,1314.0,551.0,1479.0,677.0,35
bus,0.65331745,0.0,756.0,304.0,1076.0,35
car,0.6415415,971.0,240.0,1058.0,313.0,35
train,0.4291556,2.0,749.0,297.0,1064.0,35
car,0.84881926,480.0,663.0,708.0,804.0,36
car,0.8401301,1319.0,547.0,1486.0,668.0,36
car,0.7962427,1222.0,403.0,1353.0,503.0,36
bus,0.6720698,0.0,732.0,318.0,1080.0,36
truck,0.46292114,969.0,237.0,1056.0,316.0,36
car,0.84641933,1323.0,541.0,1488.0,659.0,37
car,0.8461702,498.0,650.0,723.0,793.0,37
bus,0.7918029,0.0,727.0,349.0,1077.0,37
car,0.7800436,1228.0,398.0,1357.0,500.0,37
truck,0.41468,960.0,239.0,1053.0,320.0,37
car,0.8159981,520.0,640.0,744.0,785.0,38
car,0.8138809,1330.0,536.0,1489.0,655.0,38
car,0.6396961,1232.0,396.0,1361.0,494.0,38
bus,0.56092143,0.0,714.0,372.0,1070.0,38
truck,0.52096367,959.0,244.0,1046.0,318.0,38
train,0.4251759,3.0,712.0,366.0,1076.0,38
car,0.8623409,539.0,631.0,757.0,769.0,39
car,0.78956246,1334.0,532.0,1487.0,647.0,39
car,0.7844782,1233.0,394.0,1368.0,488.0,39
bus,0.4989767,28.0,707.0,395.0,963.0,39
truck,0.4975798,953.0,242.0,1042.0,321.0,39
car,0.7983098,1241.0,390.0,1369.0,486.0,40
car,0.7944901,1346.0,525.0,1495.0,638.0,40
car,0.71721554,556.0,624.0,771.0,762.0,40
bus,0.6597223,62.0,692.0,412.0,945.0,40
truck,0.54225373,946.0,244.0,1037.0,318.0,40
car,0.81416845,1352.0,520.0,1502.0,634.0,41
car,0.7651377,1248.0,387.0,1373.0,481.0,41
bus,0.68051744,93.0,686.0,442.0,925.0,41
car,0.5928154,573.0,612.0,786.0,743.0,41
truck,0.44919014,936.0,242.0,1035.0,321.0,41
