classes,conf,x1,y1,x2,y2,fps
car,0.72349024,1262.0,380.0,1374.0,458.0,1
car,0.5788851,636.0,321.0,760.0,427.0,1
car,0.5731659,1005.0,292.0,1089.0,338.0,1
car,0.48076057,1148.0,225.0,1204.0,259.0,1
car,0.7497654,1268.0,378.0,1378.0,457.0,2
truck,0.5711248,622.0,322.0,754.0,434.0,2
car,0.5662441,1002.0,296.0,1083.0,340.0,2
car,0.83909273,1270.0,374.0,1383.0,451.0,3
car,0.54090834,1145.0,226.0,1201.0,261.0,3
truck,0.517519,612.0,323.0,747.0,436.0,3
car,0.4715395,611.0,322.0,748.0,433.0,3
car,0.46850586,1000.0,296.0,1075.0,342.0,3
car,0.83243704,1276.0,370.0,1386.0,449.0,4
car,0.6770468,604.0,322.0,734.0,438.0,4
car,0.4382844,995.0,297.0,1064.0,343.0,4
car,0.42594337,1140.0,230.0,1200.0,265.0,4
car,0.80609894,1278.0,373.0,1389.0,446.0,5
car,0.80560684,594.0,323.0,725.0,443.0,5
car,0.46069336,988.0,300.0,1063.0,344.0,5
car,0.46006536,1137.0,231.0,1198.0,265.0,5
car,0.7463598,1282.0,367.0,1391.0,439.0,6
car,0.61718464,585.0,324.0,714.0,442.0,6
car,0.5580368,983.0,298.0,1060.0,344.0,6
car,0.69093704,571.0,329.0,709.0,445.0,7
car,0.57014275,1282.0,365.0,1392.0,438.0,7
car,0.4579625,975.0,301.0,1053.0,346.0,7
car,0.5595772,1288.0,362.0,1395.0,435.0,8
car,0.48632526,562.0,332.0,701.0,447.0,8
car,0.4258232,972.0,303.0,1049.0,350.0,8
truck,0.41490984,561.0,332.0,702.0,448.0,8
car,0.40358877,1131.0,231.0,1188.0,265.0,8
car,0.7771969,550.0,336.0,690.0,451.0,9
car,0.600626,965.0,304.0,1042.0,356.0,9
car,0.55872345,1300.0,355.0,1400.0,427.0,9
car,0.45085716,1129.0,231.0,1187.0,263.0,9
car,0.7996764,540.0,342.0,683.0,457.0,10
car,0.6375396,957.0,310.0,1041.0,360.0,10
car,0.5954833,1303.0,353.0,1402.0,426.0,10
car,0.8245683,527.0,342.0,671.0,458.0,11
car,0.6103411,1307.0,346.0,1408.0,422.0,11
car,0.56034136,948.0,313.0,1036.0,363.0,11
car,0.7980032,514.0,342.0,662.0,462.0,12
car,0.61567783,950.0,313.0,1030.0,363.0,12
car,0.5825741,1311.0,345.0,1410.0,421.0,12
car,0.63859916,941.0,312.0,1021.0,366.0,13
car,0.6057434,505.0,350.0,653.0,467.0,13
car,0.52980185,1315.0,345.0,1412.0,418.0,13
car,0.42695332,1119.0,236.0,1177.0,272.0,13
car,0.757988,490.0,348.0,645.0,470.0,14
car,0.6509094,937.0,313.0,1019.0,361.0,14
car,0.6038189,1318.0,343.0,1414.0,415.0,14
car,0.5327618,1115.0,235.0,1177.0,274.0,14
car,0.60302544,927.0,313.0,1015.0,372.0,15
car,0.58767986,1322.0,343.0,1417.0,415.0,15
truck,0.46828175,484.0,352.0,635.0,474.0,15
car,0.43629503,1113.0,239.0,1173.0,273.0,15
car,0.756022,467.0,351.0,623.0,481.0,16
car,0.65164804,1323.0,343.0,1423.0,413.0,16
car,0.62936187,925.0,314.0,1013.0,368.0,16
car,0.44434547,1111.0,238.0,1169.0,272.0,16
car,0.7067156,918.0,314.0,1000.0,375.0,17
car,0.70378876,1327.0,340.0,1422.0,409.0,17
bus,0.5138035,456.0,354.0,610.0,485.0,17
car,0.4323206,1110.0,238.0,1168.0,271.0,17
car,0.71284103,1331.0,339.0,1427.0,406.0,18
car,0.659065,912.0,320.0,998.0,376.0,18
