classes,conf,x1,y1,x2,y2,fps
truck,0.7320514,805,276,936,378,1
car,0.6471634,486,435,638,510,1
truck,0.47771072,1013,394,1132,482,1
car,0.44643402,1436,249,1483,281,1
car,0.7209041,469,439,614,524,2
truck,0.70882297,799,279,933,378,2
car,0.5566473,1020,391,1142,481,2
car,0.42124033,1436,248,1485,282,2
car,0.7246599,1028,389,1147,479,3
truck,0.72397256,795,278,930,381,3
car,0.70345116,461,446,604,514,3
car,0.72261,442,449,599,526,4
car,0.7010844,1033,383,1148,477,4
truck,0.6168375,791,283,924,382,4
car,0.7598338,426,452,587,526,5
truck,0.6394434,784,284,923,384,5
car,0.5928459,1039,384,1156,473,5
car,0.69668055,413,457,572,530,6
truck,0.53479385,779,284,916,385,6
car,0.78886056,393,457,561,542,7
car,0.6508994,1056,377,1162,463,7
truck,0.6392169,772,287,911,387,7
car,0.7295561,383,464,544,538,8
car,0.6662936,1060,375,1168,460,8
truck,0.6364262,762,288,901,387,8
car,0.45971274,1444,242,1493,277,8
car,0.41249275,1584,225,1620,259,8
car,0.7006645,362,472,530,550,9
truck,0.6892543,755,287,898,390,9
car,0.4347372,1583,222,1621,257,9
car,0.42915916,1068,373,1173,459,9
car,0.42749262,1446,242,1496,277,9
car,0.4124794,1634,220,1687,264,9
car,0.72708535,1074,375,1179,455,10
truck,0.6765051,751,288,885,392,10
car,0.6754768,340,474,513,552,10
car,0.4673555,1447,240,1496,279,10
car,0.42935133,1584,223,1623,256,10
car,0.40766335,1637,220,1687,264,10
car,0.7414999,323,479,510,555,11
car,0.66347694,1083,371,1190,451,11
truck,0.65478706,743,292,869,389,11
car,0.44298077,1639,220,1688,263,11
car,0.7483773,1089,370,1195,448,12
truck,0.69269776,737,293,881,390,12
car,0.6676564,307,484,485,555,12
car,0.46486664,1584,221,1623,253,12
car,0.41252327,1071,288,1138,334,12
car,0.7021456,1096,366,1199,445,13
truck,0.700582,730,294,866,394,13
car,0.6350291,286,487,462,571,13
car,0.5017462,1584,221,1623,253,13
truck,0.6750355,725,295,862,397,14
car,0.63866425,1099,364,1200,441,14
car,0.6193149,266,493,453,574,14
car,0.4655199,1453,240,1502,274,14
car,0.45073128,1586,220,1624,252,14
truck,0.7282233,716,297,863,399,15
car,0.6999612,1104,362,1203,439,15
car,0.6560898,239,501,430,596,15
car,0.5339241,1452,241,1504,274,15
car,0.49564362,1585,219,1625,251,15
car,0.4081068,1637,217,1690,262,15
car,0.78139496,1112,361,1213,436,16
car,0.7210641,221,506,415,585,16
truck,0.70000935,709,295,860,402,16
car,0.5043738,1454,240,1504,272,16
car,0.46184158,1586,218,1624,251,16
car,0.7557049,200,503,397,598,17
car,0.7215986,1121,360,1216,435,17
truck,0.7042351,701,299,856,403,17
car,0.49741673,1456,243,1505,272,17
car,0.4722805,1585,219,1625,250,17
car,0.732929,1123,356,1221,433,18
car,0.6361544,178,517,383,602,18
truck,0.6118381,697,301,842,405,18
car,0.49726868,1458,240,1505,271,18
car,0.7225642,159,520,364,606,19
truck,0.6944983,689,300,839,405,19
car,0.46300507,28,829,441,1021,19
car,0.46021175,1130,353,1227,429,19
car,0.4175644,1460,239,1507,270,19
car,0.4135337,1586,219,1624,250,19
car,0.82052135,155,820,467,982,20
car,0.6860347,136,525,338,616,20
truck,0.6045613,684,303,833,410,20
car,0.43441772,1587,217,1626,249,20
car,0.8053541,188,803,498,963,21
car,0.674479,1140,352,1241,424,21
car,0.659956,113,533,325,632,21
truck,0.6470423,680,302,828,411,21
car,0.4756651,1587,216,1626,249,21
car,0.8740425,220,789,524,944,22
car,0.74675775,85,539,301,659,22
truck,0.602916,669,307,821,414,22
car,0.59310913,848,985,1152,1076,22
car,0.4388876,1587,216,1629,249,22
car,0.86238766,246,774,554,948,23
car,0.7699075,62,546,275,640,23
