classes,conf,x1,y1,x2,y2,fps
car,0.8290973,0.0,729.0,363.0,941.0,1
car,0.7340946,1409.0,313.0,1493.0,363.0,1
car,0.6215737,1489.0,313.0,1592.0,407.0,1
car,0.61829877,1347.0,285.0,1404.0,319.0,1
car,0.546273,1008.0,273.0,1094.0,317.0,1
car,0.50245523,1552.0,234.0,1601.0,264.0,1
car,0.43694687,1495.0,269.0,1557.0,303.0,1
car,0.9175124,0.0,699.0,426.0,912.0,2
car,0.74005127,1415.0,313.0,1492.0,359.0,2
car,0.6516266,1492.0,313.0,1595.0,404.0,2
car,0.58832836,1502.0,266.0,1561.0,300.0,2
car,0.5630188,1350.0,283.0,1411.0,317.0,2
car,0.53949666,1554.0,232.0,1602.0,265.0,2
car,0.41688728,992.0,273.0,1090.0,321.0,2
car,0.9017029,20.0,674.0,478.0,874.0,3
car,0.68912745,1496.0,312.0,1597.0,401.0,3
car,0.6733537,1421.0,308.0,1498.0,355.0,3
car,0.60066676,1502.0,266.0,1561.0,298.0,3
car,0.50748706,1556.0,230.0,1603.0,264.0,3
car,0.4509716,983.0,283.0,1078.0,325.0,3
car,0.41901636,1356.0,277.0,1416.0,316.0,3
car,0.90166926,101.0,659.0,527.0,836.0,4
car,0.696162,1430.0,301.0,1504.0,351.0,4
car,0.6815388,1505.0,309.0,1600.0,394.0,4
car,0.47893143,1504.0,262.0,1564.0,296.0,4
car,0.4710853,973.0,280.0,1067.0,323.0,4
car,0.47101212,1559.0,230.0,1606.0,261.0,4
car,0.41834116,1363.0,277.0,1418.0,312.0,4
car,0.9091079,178.0,637.0,573.0,811.0,5
car,0.73589945,1432.0,299.0,1506.0,350.0,5
car,0.63244104,1366.0,273.0,1428.0,311.0,5
car,0.61094093,1508.0,304.0,1600.0,392.0,5
car,0.5497241,960.0,284.0,1053.0,328.0,5
car,0.9024937,247.0,617.0,626.0,783.0,6
car,0.7546077,1436.0,298.0,1513.0,346.0,6
car,0.71917534,950.0,284.0,1047.0,331.0,6
car,0.6682489,1513.0,254.0,1568.0,293.0,6
car,0.6593008,1512.0,298.0,1614.0,387.0,6
car,0.61806417,1370.0,272.0,1429.0,311.0,6
car,0.44864845,1563.0,231.0,1611.0,261.0,6
car,0.9077611,311.0,599.0,667.0,755.0,7
car,0.750041,1441.0,296.0,1514.0,345.0,7
car,0.67067146,1374.0,272.0,1437.0,305.0,7
car,0.66153646,1516.0,253.0,1571.0,290.0,7
car,0.6316991,935.0,287.0,1035.0,331.0,7
car,0.5985832,1512.0,295.0,1608.0,383.0,7
car,0.5171199,1563.0,228.0,1614.0,260.0,7
car,0.8894806,365.0,585.0,710.0,735.0,8
car,0.74499106,1449.0,294.0,1515.0,341.0,8
car,0.712059,1519.0,295.0,1613.0,376.0,8
car,0.67147064,1381.0,269.0,1442.0,306.0,8
car,0.6436472,919.0,290.0,1024.0,338.0,8
car,0.6331012,1519.0,252.0,1574.0,290.0,8
car,0.57916594,1565.0,229.0,1615.0,263.0,8
car,0.85722065,423.0,564.0,747.0,706.0,9
car,0.7085705,1454.0,292.0,1520.0,336.0,9
car,0.6019101,907.0,293.0,1001.0,341.0,9
car,0.54449034,1521.0,292.0,1617.0,374.0,9
car,0.5423584,1387.0,269.0,1442.0,304.0,9
car,0.5098915,1566.0,228.0,1617.0,269.0,9
car,0.48559785,1519.0,249.0,1571.0,286.0,9
car,0.43245673,1657.0,186.0,1721.0,254.0,9
car,0.9085908,475.0,550.0,781.0,689.0,10
car,0.7617688,1455.0,293.0,1522.0,334.0,10
car,0.76067924,896.0,294.0,1000.0,344.0,10
car,0.5978451,1391.0,269.0,1444.0,300.0,10
car,0.508976,1520.0,252.0,1573.0,288.0,10
car,0.50302815,1524.0,294.0,1617.0,370.0,10
car,0.46850586,1657.0,188.0,1721.0,254.0,10
car,0.8948231,520.0,536.0,813.0,666.0,11
car,0.7775259,1527.0,291.0,1620.0,366.0,11
car,0.7388866,1461.0,287.0,1528.0,331.0,11
car,0.71471214,878.0,297.0,982.0,348.0,11
car,0.566803,1397.0,268.0,1450.0,297.0,11
car,0.51110816,1521.0,249.0,1575.0,289.0,11
car,0.41072845,1658.0,186.0,1723.0,252.0,11
car,0.86959696,566.0,523.0,849.0,656.0,12
car,0.73214006,1466.0,284.0,1531.0,327.0,12
car,0.69837904,860.0,301.0,977.0,353.0,12
car,0.63526154,1399.0,266.0,1455.0,295.0,12
car,0.63270664,1528.0,288.0,1622.0,363.0,12
car,0.45303726,1658.0,187.0,1723.0,252.0,12
car,0.42741108,1523.0,249.0,1579.0,284.0,12
car,0.8865056,608.0,512.0,870.0,631.0,13
car,0.74133253,849.0,301.0,960.0,354.0,13
car,0.68598175,1471.0,284.0,1537.0,325.0,13
car,0.66295624,1406.0,264.0,1459.0,292.0,13
car,0.56680775,1531.0,283.0,1622.0,360.0,13
car,0.454216,1579.0,223.0,1622.0,247.0,13
car,0.4244156,1529.0,248.0,1579.0,277.0,13
car,0.42372465,1661.0,187.0,1723.0,251.0,13
car,0.8736813,650.0,498.0,900.0,612.0,14
car,0.68053436,827.0,309.0,949.0,359.0,14
car,0.65725636,1537.0,284.0,1625.0,357.0,14
car,0.6279795,1410.0,261.0,1463.0,292.0,14
car,0.6256242,1474.0,283.0,1541.0,324.0,14
car,0.6103239,1532.0,246.0,1582.0,278.0,14
car,0.4904151,969.0,302.0,1057.0,339.0,14
car,0.42398238,1661.0,186.0,1723.0,251.0,14
car,0.8707428,682.0,488.0,920.0,601.0,15
car,0.7705488,812.0,310.0,931.0,363.0,15
car,0.57048655,1477.0,283.0,1540.0,321.0,15
car,0.54001546,1543.0,280.0,1628.0,355.0,15
car,0.5216241,1412.0,260.0,1465.0,292.0,15
car,0.44035435,1582.0,220.0,1622.0,249.0,15
